Name,City,Attachments,Status,Gender,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Have you completed your higher education in Germany?,Your main technology,Just a few more general questions,Company size,Annual Brutto salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",About you (anonymously),Working hours per week
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,11,6,Head,,Java,"PHP,AWS,SQL, React",4,English,No,,,1000+,140000,190000,110000,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,5,5,Middle,,Python,,,"English,German,Russian",Yes,,,51-100,80200,115300,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,4,Senior,,Kotlin,,0,English,No,,,101-1000,90000,120000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,5,Senior,,JavaScript / Typescript," React,Kubernetes,NodeJS,Docker,PHP",0,English,No,,,1000+,75000,90000,63000,25,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,10,6,Senior,,Python,"Kotlin,SQL,AWS,Terraform",2,English,No,,,1000+,83500,96000,93000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,5,Senior,,Java,Other,1,English,No,,,1000+,75000,75000,66000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,16,8,Senior,,JavaScript / Typescript," React,NodeJS,Go,Rust,AWS,Kubernetes,Terraform,Docker",1,"English,German,Russian",No,,,101-1000,120000,140000,110000,28,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,13,3,Senior,,Other,,0,"English,German,Russian",No,,,101-1000,80000,80000,85000,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,15,6,Senior,,JavaScript / Typescript," React,NodeJS",2,"English,Russian",No,,,1000+,80000,80000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,10,6,Senior,,JavaScript / Typescript,"Python,Java / Scala,Javascript / Typescript,NodeJS, React,AWS,Kubernetes,Docker",0,English,Not relevant to me,,,101-1000,125000,143750,,Unlimited ,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,8,Senior,,C / C++,Python,8,English,No,,,1000+,90000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,2,1,Junior,,Go,Docker,0,English,No,,,1000+,53000,0,,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,12,5,Lead,,PHP,"Javascript / Typescript,SQL,PHP",3,"English,Russian",No,,,51-100,80000,92000,92000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,20,6,Senior,,Ruby,"Kubernetes,Docker",1,"English,German",No,,,51-100,82000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,20,6,Head,,JavaScript / Typescript,"Python,Google Cloud",2,"English,Russian",No,,,1000+,160000,220000,200000,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,2,Lead,,Java,"Docker,Kotlin,Java / Scala,AWS,Kubernetes",2,English,No,,,101-1000,72000,72000,72000,25,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,10,7,Senior,,Python,"SQL,AWS,Kubernetes,Terraform,Docker",1,English,Yes,,,1000+,85000,100000,93000,24,,,,,,
,Berlin,,,,,Working student,,Data Scientist,,2,2,,,Python,"Azure,Docker,Python",0,English,Yes,,,1000+,13200,13200,13200,15,,,,,,
,Berlin,,,,,Self-employed (freelancer),,Software / Solutions Architect,,11,3,Head,,Bash,Other,5,English,No,,,1000+,,,,,100,1920,5,100000,,
,Berlin,,,,,Full-time employee,,Software Engineer,,20,9,Other,Principal,Python,"C / C++,SQL,AWS,Kubernetes,Docker",9,"English,German,Russian",No,,,1000+,100000,125000,110000,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,3,3,Middle,,Python,"Java / Scala,SQL,Google Cloud,Docker,Other",1,English,Yes,,,101-1000,62000,76,62000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,14,14,Lead,,Kotlin,"Angular,Azure,Docker,Terraform,Kubernetes",3,"English,German",Yes,,,101-1000,90000,90000,87000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,14,14,Senior,,Kotlin,"Kubernetes,Docker",0,"English,German",Yes,,,101-1000,92000,92000,90000,27,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,1,1,Junior,,JavaScript / Typescript,"Javascript / Typescript,Angular",1,"English,German",No,,,101-1000,46000,46000,40000,27,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,10,10,Head,,Python,Java / Scala,0,"English,German,Russian",No,,,11-50,130000,0,110000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,4,3,Middle,,Kotlin,"Azure,Kubernetes,Docker,Terraform",2,English,No,,,101-1000,60000,60000,60000,30,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,19,5,Head,,Ruby,"Python,AWS,Kubernetes,Terraform,Docker,Azure",0,"English,Russian",No,,,101-1000,130000,150000,110000,30,,,,,,
,Berlin,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,10,5,Senior,,Other,"AWS,Docker",0,"English,German",No,,,51-100,80000,80000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,2,Middle,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,AWS,Docker",2,English,No,,,1000+,70000,70000,60000,27,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,6,3,Senior,,JavaScript / Typescript,"NodeJS, React,Docker",3,"English,Russian",No,,,101-1000,85000,85000,75000,28,,,,,,
,Berlin,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,16,6,Middle,,Other,"Other,Docker",1,German,No,,,101-1000,44000,44000,,27,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,1,1,Junior,,Other,Other,0,English,No,,,101-1000,42000,42000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,12,9,Head,,Python,,2,English,No,,,1000+,100000,130000,92000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,7,7,Lead,,JavaScript / Typescript,"Angular,NodeJS,Azure,Other",4,"German,English",Yes,,,1000+,78000,78000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,15,1,Senior,,Other,"Python,AWS,Docker,Other",,English,No,,,51-100,70000,70000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Other,Data Analyst,2,2,Middle,,SQL,"Python,Google Cloud",0,English,No,,,101-1000,58000,58000,46000,26,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,16,6,Head,,Ruby,"Javascript / Typescript,Ruby,Docker,SQL",2,"English,German",No,,,11-50,110000,110000,110000,28,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,8,5,Middle,,Kotlin,"Python,Java / Scala,Kotlin,PHP,Angular,SQL",2,English,Yes,,,1000+,97500,120000,110000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,17,5,Lead,,Java,"Kotlin,Java / Scala,NodeJS,Kubernetes,Google Cloud",5,English,No,,,51-100,80000,90000,75000,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,3,Senior,,C# / .NET,"C# / .NET core,Javascript / Typescript,.NET,SQL,Docker",1,German,No,,,1000+,75000,75000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,8,3,Senior,,Python,"SQL,AWS,Docker",0,English,No,,,101-1000,87000,87000,78000,25,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,13,6,Lead,,Kotlin,"Java / Scala,Javascript / Typescript, React,NodeJS,AWS,Google Cloud",0,"English,German,Russian",No,,,51-100,200000,240000,150000,28,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,8,1,Senior,,Swift,"Ruby,Other",0,English,No,,,1000+,82000,97000,,26,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,5,5,Senior,,JavaScript / Typescript," React,NodeJS,Docker",2,"English,German",Yes,,,11-50,65000,0,57000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,6,Senior,,Java,"Python,Java / Scala,Javascript / Typescript, React,Go,AWS,Google Cloud,Kubernetes,Terraform,Docker",2,"English,German",No,,,101-1000,132000,157000,115000,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,10,1,Middle,,Other,SQL,1,English,No,,,1000+,75000,75000,58000,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,10,7,Senior,,Java,"Python,Java / Scala,Terraform,Docker",1,English,Yes,,,1000+,90000,130000,95000,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,6,Middle,,C / C++,C / C++,6,German,No,,,11-50,50200,50200,46000,24,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,5,1,Middle,,Swift,"Ruby,Other",1,"English,Russian",No,,,1000+,75000,75000,70000,27,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,9,6,Lead,,PHP,"Other,Docker,Kubernetes,Go,SQL,PHP",3,"English,Russian",No,,,101-1000,59500,64500,,25,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,8,3,Middle,,Swift,Ruby,3,English,No,,,1000+,70000,70000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,2,2,Junior,,Python,"SQL,Google Cloud,Docker",1,English,No,,,101-1000,51000,51000,50000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,3,Middle,,Java,"Javascript / Typescript,Go,AWS",,English,No,,,1000+,88000,110000,75000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,5,Senior,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,Angular,Docker,Other",,English,Yes,,,101-1000,63000,63000,63000,27,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,2,Senior,,JavaScript / Typescript," React,AWS",0,English,No,,,101-1000,75000,80000,50000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,0,Middle,,Swift,,0,English,No,,,101-1000,60000,0,,32,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,13,4,Lead,,Python,"SQL, React,Javascript / Typescript,R,AWS",1,English,No,,,1000+,85000,15000,100000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,7,2,Lead,,Java,"Java / Scala,AWS,Terraform,Docker",1,English,No,,,51-100,78000,78000,0,28,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,8,3,Senior,,JavaScript / Typescript," React,NodeJS,Javascript / Typescript,Kubernetes,AWS,Docker",3,English,No,,,1000+,81000,93000,80000,27,,,,,,
,Berlin,,,,,Full-time employee,,Other,Data Analyst ,3,3,Middle,,SQL,,2,German,Yes,,,1000+,48000,4000,52000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,12,2,Middle,,Go,"AWS,Docker,SQL",0,English,No,,,1000+,73000,73000,55000,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,13,2,Senior,,C# / .NET,"Kotlin,Swift",2,English,No,,,51-100,71400,71400,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,Scrum Master / Agile Coach,,4,4,Senior,,Other,,3,"English,German",Yes,,,101-1000,65000,0,0,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,13,5,Senior,,Swift,,1,English,No,,,1000+,85000,85000,,27,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,1,Senior,,JavaScript / Typescript,"Python, React,NodeJS",4,"English,Russian",No,,,11-50,70000,150000,,flexible,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,10,1,Middle,,Java,"Kotlin,Javascript / Typescript",1,English,No,,,1000+,55000,55000,55000,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,15,2,Senior,,JavaScript / Typescript,,2,English,No,,,51-100,70000,70000,62000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,1,Middle,,Java,"Kotlin,Docker,SQL, React,Javascript / Typescript",2,"English,Russian",No,,,51-100,60000,60000,56400,29,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,12,4,Lead,,Other,,2,"English,German",No,,,1000+,125000,140000,135000,29,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,12,6,Senior,,SQL,Python,1,English,No,,,101-1000,87000,97000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,1,Senior,,JavaScript / Typescript," React,Angular,NodeJS",0,English,No,,,1000+,73000,85000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,23,10,Head,,Java,"Kotlin, React,SQL,AWS,Kubernetes,Terraform,Docker,Javascript / Typescript",0,"English,German",No,,,11-50,125000,150000,162000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,12,4,Middle,,Java,"Kotlin,Docker,AWS,Kubernetes",0,English,No,,,101-1000,105000,133000,90000,26,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,15,5,Lead,,Java,"Java / Scala,Kotlin,Javascript / Typescript,Swift,Google Cloud,Kubernetes,Docker",0,English,No,,,101-1000,104000,104000,95000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,6,Senior,,Java,"Go,Kubernetes,AWS",6,"English,Russian",No,,,1000+,95000,95000,95000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,2,3,Senior,,Java,"Kubernetes,Docker,Python,Javascript / Typescript",0,English,No,,,1000+,70000,74500,57000,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,9,5,Senior,,Swift,,3,English,No,,,1000+,70000,83000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,10,4,Senior,,Java,"Python,Kotlin,Ruby,AWS,Terraform",0,English,No,,,1000+,88000,132000,92650,28,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,6,4,Lead,,Other,,3,"English,German",No,,,1000+,86000,4300,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,15,5,Lead,,Java,"Python,AWS,Kubernetes,Terraform,Docker,SQL",3,"Russian,English",No,,,101-1000,95000,95000,85000,25,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,8,5,Lead,,PHP,"Docker,SQL",5,"English,Russian",No,,,101-1000,85000,85000,74000,unlimited,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,16,6,Senior,,Other,"Java / Scala,Python,AWS",0,English,No,,,1000+,160000,175000,95000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,8,3,Lead,,Java,"Python,Kotlin, React,Kubernetes,Terraform,Docker,AWS",3,English,No,,,1000+,97000,97000,64000,29,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,4,2,Middle,,JavaScript / Typescript,Javascript / Typescript,0,English,No,,,1000+,65000,65000,,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,15,Senior,,Java,"AWS,Rust,Javascript / Typescript,Docker,Kubernetes",3,English,Yes,,,1000+,93000,0,88000,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,6,4,Senior,,Python,"SQL,Docker,Terraform,Kubernetes,AWS",0,English,No,,,101-1000,80000,82000,72000,26,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,10,7,Senior,,Python,R,1,"English,German",Yes,,,1000+,65000,74000,74000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,5,Senior,,Java,Kubernetes,0,English,No,,,1000+,91000,120000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,12,5,Senior,,Java,"Kotlin,SQL,AWS,Kubernetes,Docker",2,"English,Russian",No,,,1000+,91000,91100,85100,28,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,10,4,Middle,,Python,,2,"English,German,Russian",No,,,11-50,75000,75000,69000,25,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,15,9,Head,,R,"Java / Scala,Javascript / Typescript,R,SQL,AWS,Python,Google Cloud",0,"English,German",Yes,,,101-1000,100000,110000,95,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,0,0,Junior,,Python,Python,0,English,No,,,101-1000,50000,50000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,7,Lead,,Java,"Python,Java / Scala,Google Cloud",0,English,No,,,1000+,105000,180000,100000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,17,7,Lead,,Python,"Python,Javascript / Typescript,Azure,SQL",0,"English,German",No,,,11-50,75000,80000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,12,8,Head,,Go,"Python,Kubernetes,Terraform,AWS,Google Cloud,Azure",0,English,Yes,,,1000+,120000,135000,115000,34,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,11,11,Lead,,Java,"Python,AWS,Terraform,Docker,Go,NodeJS,PHP",4,"English,German",Yes,,,1000+,110000,110000,100000,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,5,5,Senior,,Python,"R,SQL,Docker",5,"English,German,Russian",Yes,,,11-50,82000,82000,82000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,7,Middle,,PHP,"Java / Scala,SQL,Kubernetes,Docker",0,English,No,,,1000+,66000,90000,90000,24,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,14,4,Senior,,Go,"Docker,Kubernetes,Google Cloud,AWS,Go,SQL,Ruby,NodeJS, React,Angular,Javascript / Typescript,C / C++,Java / Scala,Python,Other",,"English,German",No,,,up to 10,82000,92000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,2,Middle,,Python,"SQL,Go,Docker,Kubernetes",0,"English,Russian",No,,,101-1000,90000,100000,72000,30,,,,,,
,Berlin,,,,,Founder,,Head / Principal / VP,,15,15,Head,,Swift,"Python,Kotlin,AWS",1,English,No,,,up to 10,120000,120000,,,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,7,Lead,,Go,"Java / Scala,Kotlin,SQL,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",0,English,No,,,101-1000,100000,100000,82000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,1,Senior,,JavaScript / Typescript, React,0,English,Yes,,,1000+,65000,65000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,8,Senior,,Python,"Kubernetes,Terraform,Docker,Azure",0,"English,German,Russian",No,,,1000+,80000,85000,90000,27,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,2,0,Middle,,Python,"Docker,AWS",1,English,No,,,1000+,68000,0,,21,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,6,0,Senior,,Java,"C# / .NET core,Python,Java / Scala,Kotlin,Docker,Azure,SQL,Terraform",0,"English,Russian",No,,,101-1000,93000,110000,,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,8,Senior,,JavaScript / Typescript,"Java / Scala,NodeJS, React,Javascript / Typescript",3,English,No,,,1000+,90000,115000,98000,32,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,12,11,Lead,,C / C++,,3,English,No,,,101-1000,85200,100000,100000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,12,10,Senior,,Java,"Javascript / Typescript, React,Google Cloud,Kubernetes,Docker",2,"English,German,Russian",No,,,101-1000,74400,74400,74400,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,3,Senior,,Ruby,"Ruby,SQL,AWS,Docker,Javascript / Typescript",3,English,No,,,101-1000,75000,75000,60000,25,,,,,,
,Berlin,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,3,0,Middle,,Python,"Python,NodeJS,Java / Scala,Javascript / Typescript",0,English,No,,,1000+,68000,70000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,13,5,Lead,,Go,"Python,AWS,Java / Scala,Kotlin,SQL,Go,Kubernetes,Terraform,Docker",3,English,No,,,1000+,100000,135000,130000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,8,Senior,,Go,"AWS,Kubernetes,Docker,SQL,C / C++,Python,Rust",0,English,No,,,51-100,120000,180000,,,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,7,1,Middle,,JavaScript / Typescript," React,NodeJS",1,English,No,,,,76000,76000,65000,25,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,6,0,Senior,,Java,Kotlin,0,"Russian,English",No,,,1000+,70000,70000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,0,Senior,,Scala,"Python,SQL,AWS,Javascript / Typescript",0,English,No,,,1000+,85000,85000,,27,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,10,0,Head,,Other,"Python,SQL",0,"English,Russian",No,Product,,11-50,87000,87000,,23,,,,,,
,Berlin,,,,,Full-time employee,,Other,Product Analyst,3,3,Middle,,Python,"SQL,R",0,English,Yes,,,1000+,70000,70000,50000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,1,Senior,,JavaScript / Typescript,"Python,NodeJS, React,AWS,Docker",2,English,No,,,11-50,71000,71000,65000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,3,0,Middle,,JavaScript / Typescript," React,NodeJS",0,Russian,No,,,101-1000,23500,23500,20,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,9,2,Senior,,Swift,,2,"English,Russian",No,,,1000+,80000,85000,80000,35,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,3,0,Senior,,JavaScript / Typescript,"Javascript / Typescript,NodeJS,Other",0,"English,Russian",No,,,101-1000,57000,63000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,8,1,Lead,,Python,"Javascript / Typescript,Angular, React,Perl",2,English,No,,,101-1000,96000,113000,97000,28,,,,,,
,Berlin,,,,,Full-time employee,,Scrum Master / Agile Coach,,3,0,Middle,,Other,,0,"English,German",No,-,,101-1000,51000,53000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,8,4,Senior,,Go,"PHP,Go,AWS,Kubernetes,Terraform,Docker",0,English,No,,,101-1000,72000,75700,70000,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,2,Middle,,Python,,2,"English,Russian",No,,,101-1000,65000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,7,Senior,,Other,Ruby,0,English,No,Elixir,,up to 10,76000,80000,80000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,8,Lead,,Go,Python,2,English,No,,,1000+,85200,89000,84000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,11,2,Lead,,JavaScript / Typescript,"Python,Javascript / Typescript, React,NodeJS,SQL,Docker,Kubernetes",2,"English,Russian",No,,,1000+,90000,90000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,10,3,Lead,,Other,,1,"English,Russian",No,,,51-100,75000,75000,,,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,12,5,Senior,,Python,"Docker,Kubernetes,Terraform,AWS,SQL,Python",1,English,No,,,101-1000,80700,85000,78000,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,7,2,Senior,,JavaScript / Typescript,"Javascript / Typescript,NodeJS,SAP / ABAP,AWS",2,"English,Russian",No,,,1000+,82000,92000,89000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,7,3,Lead,,Ruby,"Go,Other,Docker,SQL",0,"English,Russian",No,,,51-100,82500,82500,75000,24,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,10,2,Senior,,Other,,0,English,No,,,101-1000,70000,70000,60000,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,15,4,Lead,,Python,"Javascript / Typescript,SQL,Go,Docker,Other,AWS",3,English,No,,,101-1000,78000,80000,74000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,1,Senior,,Go,,1,English,No,,,1000+,92000,92000,,27,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,7,2,Middle,,Java,"Kubernetes,Terraform,AWS,Google Cloud,Java / Scala,Python,SQL",1,English,No,,,1000+,83000,37000,67000,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,0,Middle,,Java,,,English,No,,,51-100,59160,61160,,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,20,2,Senior,,JavaScript / Typescript," React,NodeJS,Docker,Javascript / Typescript",3,"Russian,English",No,,,1000+,82000,0,,,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,10,3,Senior,,Bash,"Python,Javascript / Typescript,Kubernetes,Terraform,Docker,AWS",0,English,No,,,1000+,86000,0,70000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,2,Senior,,JavaScript / Typescript,Java / Scala,1,English,No,,,1000+,83000,100000,100000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,2,Lead,,Swift,Javascript / Typescript,2,English,No,,,1000+,95000,95000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,2,Senior,,PHP,"Java / Scala,Go,SQL,AWS,Terraform,Docker",2,English,Not relevant to me,,,101-1000,69000,0,0,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,6,1,Middle,,Python,SQL,1,English,No,,,101-1000,50000,60000,,,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,4,Lead,,JavaScript / Typescript," React,NodeJS,SQL,AWS,Docker,Kubernetes",4,"English,Russian",No,,,101-1000,83000,83000,75000,28,,,,,,
,Berlin,,,,,Full-time employee,,Other,CTO,25,4,Other,C-level,Java,"Javascript / Typescript,Angular,AWS,Docker,SQL,C / C++,Kotlin,Kubernetes",3,"English,Russian,German",No,,,101-1000,100000,150000,120000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,4,Senior,,NodeJS,"Java / Scala,NodeJS",3,English,No,,,1000+,90000,155000,134000,30,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,17,6,Head,,Ruby,"Javascript / Typescript,Docker,Terraform,AWS,NodeJS",4,English,No,,,51-100,125000,20000,110000,28,,,,,,
,Berlin,,,,,Working student,,Frontend Developer,,1,1,Junior,,JavaScript / Typescript," React,Other",1,English,Not relevant to me,,,11-50,15000,15000,,15,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,4,4,Middle,,JavaScript / Typescript,NodeJS,0,English,Yes,,,101-1000,55000,66000,64000,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,4,2,Middle,,Scala,Azure,1,English,Yes,,,101-1000,70000,70000,59000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,4,4,Middle,,Python,,0,English,Yes,,,11-50,55000,55000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,13,7,Senior,,Other,,2,English,No,,,1000+,85000,120000,115000,26,,,,,,
